team,elo_inhouse
montenegro,1515.7
biafra,1515.1
canary islands,1514.9
felvidek,1514.4
parishes of jersey,1513.7
elba island,1513.2
donetsk pr,1512.0
madagascar,1509.6
tahiti,1508.6
mapuche,1508.5
silesia,1506.8
united koreans in japan,1506.2
kazakhstan,1505.2
crimea,1504.7
brittany,1504.3
nicaragua,1503.5
indonesia,1503.1
shetland,1500.9
mozambique,1500.5
niger,1499.1
delvidek,1498.4
togo,1495.5
central spain,1495.3
el salvador,1493.6
saugeais,1493.5
south ossetia,1491.8
north korea,1491.5
cilento,1491.3
luhansk pr,1490.4
guyana,1490.3
madrid,1489.5
north vietnam,1487.5
matabeleland,1486.5
seborga,1486.4
yoruba nation,1483.7
sealand,1483.1
zimbabwe,1481.5
sudan,1480.9
republic of st. pauli,1480.8
comoros,1479.7
malaysia,1479.6
martinique,1478.1
somaliland,1474.9
ryukyu,1474.9
dominican republic,1474.8
kenya,1474.6
kuwait,1474.1
west papua,1473.6
aland islands,1473.4
sapmi,1472.9
sierra leone,1472.2
szekely land,1472.1
franconia,1471.2
romani people,1469.8
south yemen,1468.7
vietnam,1467.2
greenland,1465.3
aymara,1463.2
provence,1461.2
hmong,1460.1
luxembourg,1457.6
kabylia,1456.7
mayotte,1455.1
east turkestan,1453.7
papua new guinea,1453.1
kyrgyzstan,1451.4
chechnya,1451.3
equatorial guinea,1448.4
mauritania,1446.9
saarland,1446.6
rwanda,1445.7
gotland,1444.1
vanuatu,1440.4
lebanon,1440.4
faroe islands,1440.0
liberia,1438.9
malawi,1437.5
monaco,1436.6
tajikistan,1436.0
western isles,1433.9
namibia,1431.6
manchukuo,1430.4
gagauzia,1429.5
niue,1427.2
armenia,1426.7
fiji,1422.7
estonia,1422.3
palau,1421.5
gozo,1420.6
french guiana,1420.4
lesotho,1417.1
marshall islands,1416.9
cuba,1413.0
saint barthelemy,1412.6
tanzania,1411.1
vatican city,1408.3
ticino,1406.0
botswana,1400.4
orkney,1397.1
western sahara,1396.2
western australia,1395.4
ethiopia,1394.4
burundi,1393.0
azerbaijan,1389.6
turkmenistan,1385.5
two sicilies,1384.3
raetia,1378.8
guinea-bissau,1374.6
solomon islands,1369.4
cyprus,1368.9
central african republic,1363.2
barawa,1359.4
chagos islands,1358.1
puerto rico,1352.9
yemen dpr,1352.9
saint vincent and the grenadines,1352.0
malta,1348.1
vietnam republic,1346.9
saint helena,1344.3
hitra,1343.3
saare county,1340.9
philippines,1338.8
bermuda,1335.4
lithuania,1332.1
latvia,1329.4
micronesia,1328.7
sark,1327.8
congo,1327.4
moldova,1321.4
eswatini,1317.2
ambazonia,1312.1
hong kong,1311.2
saint martin,1310.0
yemen,1305.4
sint maarten,1297.1
wallis islands and futuna,1295.9
singapore,1292.8
saint pierre and miquelon,1287.6
belize,1286.2
grenada,1286.1
south sudan,1268.3
tibet,1266.7
saint kitts and nevis,1263.1
samoa,1248.6
chad,1247.2
india,1235.9
kiribati,1234.2
montserrat,1228.8
tuvalu,1218.7
saint lucia,1214.8
falkland islands,1214.4
mauritius,1207.2
aruba,1206.6
darfur,1201.9
eritrea,1200.5
frøya,1194.3
sao tome and principe,1182.2
afghanistan,1171.5
dominica,1163.1
cook islands,1146.3
andorra,1141.2
gibraltar,1135.1
myanmar,1134.5
bangladesh,1130.8
barbados,1121.4
pakistan,1119.6
bonaire,1115.4
antigua and barbuda,1102.9
nepal,1101.9
alderney,1076.0
djibouti,1075.9
cambodia,1075.6
tonga,1072.1
somalia,1062.0
taiwan,1057.5
cayman islands,1029.1
british virgin islands,1022.0
seychelles,1011.4
sri lanka,1010.3
maldives,996.1
mongolia,980.0
turks and caicos islands,975.7
guam,975.0
liechtenstein,972.9
northern mariana islands,968.7
united states virgin islands,965.1
bahamas,944.2
laos,937.1
american samoa,931.0
san marino,906.5
timor-leste,903.3
anguilla,891.6
brunei,889.4
bhutan,858.8
macau,837.8
